step,time,angle
0,0,0.30014
1,0.01,0.30042
2,0.02,0.30084
3,0.03,0.3014
4,0.04,0.302101
5,0.05,0.302942
6,0.06,0.303925
7,0.07,0.305049
8,0.08,0.306316
9,0.09,0.307725
10,0.1,0.309278
11,0.11,0.310974
12,0.12,0.312815
13,0.13,0.314801
14,0.14,0.316934
15,0.15,0.319215
16,0.16,0.321643
17,0.17,0.324221
18,0.18,0.326949
19,0.19,0.329828
20,0.2,0.332861
21,0.21,0.336048
22,0.22,0.33939
23,0.23,0.342889
24,0.24,0.346546
25,0.25,0.350363
26,0.26,0.354342
27,0.27,0.358484
28,0.28,0.362791
29,0.29,0.367265
30,0.3,0.371907
31,0.31,0.37672
32,0.32,0.381705
33,0.33,0.386865
34,0.34,0.392202
35,0.35,0.397717
36,0.36,0.403414
37,0.37,0.409294
38,0.38,0.41536
39,0.39,0.421614
40,0.4,0.428058
41,0.41,0.434696
42,0.42,0.44153
43,0.43,0.448561
44,0.44,0.455795
45,0.45,0.463232
46,0.46,0.470875
47,0.47,0.478729
48,0.48,0.486795
49,0.49,0.495076
50,0.5,0.503576
51,0.51,0.512298
52,0.52,0.521244
53,0.53,0.530418
54,0.54,0.539823
55,0.55,0.549463
56,0.56,0.55934
57,0.57,0.569458
58,0.58,0.57982
59,0.59,0.59043
60,0.6,0.601291
61,0.61,0.612406
62,0.62,0.623778
63,0.63,0.635412
64,0.64,0.647311
65,0.65,0.659477
66,0.66,0.671915
67,0.67,0.684627
68,0.68,0.697617
69,0.69,0.710889
70,0.7,0.724445
71,0.71,0.73829
72,0.72,0.752425
73,0.73,0.766855
74,0.74,0.781582
75,0.75,0.796609
76,0.76,0.811939
77,0.77,0.827575
78,0.78,0.84352
79,0.79,0.859775
80,0.8,0.876344
81,0.81,0.893229
82,0.82,0.910431
83,0.83,0.927953
84,0.84,0.945796
85,0.85,0.963962
86,0.86,0.982452
87,0.87,1.00127
88,0.88,1.02041
89,0.89,1.03987
90,0.9,1.05966
91,0.91,1.07978
92,0.92,1.10022
93,0.93,1.12099
94,0.94,1.14208
95,0.95,1.16349
96,0.96,1.18522
97,0.97,1.20727
98,0.98,1.22963
99,0.99,1.2523
100,1,1.27527
101,1.01,1.29855
102,1.02,1.32212
103,1.03,1.34598
104,1.04,1.37013
105,1.05,1.39455
106,1.06,1.41924
107,1.07,1.44419
108,1.08,1.46939
109,1.09,1.49483
110,1.1,1.5205
111,1.11,1.54639
112,1.12,1.57249
113,1.13,1.59879
114,1.14,1.62526
115,1.15,1.65191
116,1.16,1.6787
117,1.17,1.70563
118,1.18,1.73268
119,1.19,1.75983
120,1.2,1.78707
121,1.21,1.81437
122,1.22,1.84171
123,1.23,1.86908
124,1.24,1.89645
125,1.25,1.92381
126,1.26,1.95112
127,1.27,1.97836
128,1.28,2.00552
129,1.29,2.03257
130,1.3,2.05948
131,1.31,2.08622
132,1.32,2.11277
133,1.33,2.13911
134,1.34,2.16521
135,1.35,2.19103
136,1.36,2.21656
137,1.37,2.24177
138,1.38,2.26662
139,1.39,2.29109
140,1.4,2.31515
141,1.41,2.33878
142,1.42,2.36194
143,1.43,2.38461
144,1.44,2.40677
145,1.45,2.42837
146,1.46,2.44941
147,1.47,2.46984
148,1.48,2.48966
149,1.49,2.50882
150,1.5,2.52731
151,1.51,2.5451
152,1.52,2.56216
153,1.53,2.57849
154,1.54,2.59405
155,1.55,2.60882
156,1.56,2.62279
157,1.57,2.63593
158,1.58,2.64823
159,1.59,2.65967
160,1.6,2.67023
161,1.61,2.6799
162,1.62,2.68868
163,1.63,2.69653
164,1.64,2.70346
165,1.65,2.70946
166,1.66,2.71451
167,1.67,2.71861
168,1.68,2.72175
169,1.69,2.72393
170,1.7,2.72515
171,1.71,2.7254
172,1.72,2.72469
173,1.73,2.72301
