step,time,angle
0,0,0.29969
1,0.01,0.29907
2,0.02,0.298141
3,0.03,0.296904
4,0.04,0.29536
5,0.05,0.293511
6,0.06,0.291359
7,0.07,0.288906
8,0.08,0.286154
9,0.09,0.283107
10,0.1,0.279768
11,0.11,0.27614
12,0.12,0.272228
13,0.13,0.268035
14,0.14,0.263565
15,0.15,0.258824
16,0.16,0.253816
17,0.17,0.248547
18,0.18,0.243023
19,0.19,0.237248
20,0.2,0.231229
21,0.21,0.224973
22,0.22,0.218486
23,0.23,0.211774
24,0.24,0.204845
25,0.25,0.197706
26,0.26,0.190364
27,0.27,0.182827
28,0.28,0.175103
29,0.29,0.167199
30,0.3,0.159124
31,0.31,0.150887
32,0.32,0.142495
33,0.33,0.133957
34,0.34,0.125283
35,0.35,0.11648
36,0.36,0.107559
37,0.37,0.0985277
38,0.38,0.089396
39,0.39,0.080173
40,0.4,0.0708683
41,0.41,0.0614912
42,0.42,0.0520515
43,0.43,0.0425587
44,0.44,0.0330226
45,0.45,0.0234528
46,0.46,0.0138591
47,0.47,0.00425123
48,0.48,-0.00536093
49,0.49,-0.0149676
50,0.5,-0.0245591
51,0.51,-0.0341255
52,0.52,-0.0436572
53,0.53,-0.0531443
54,0.54,-0.0625773
55,0.55,-0.0719464
56,0.56,-0.0812422
57,0.57,-0.0904551
58,0.58,-0.0995757
59,0.59,-0.108595
60,0.6,-0.117503
61,0.61,-0.126291
62,0.62,-0.13495
63,0.63,-0.143471
64,0.64,-0.151846
65,0.65,-0.160065
66,0.66,-0.16812
67,0.67,-0.176004
68,0.68,-0.183707
69,0.69,-0.191222
70,0.7,-0.198541
71,0.71,-0.205656
72,0.72,-0.21256
73,0.73,-0.219246
74,0.74,-0.225707
75,0.75,-0.231937
76,0.76,-0.237927
77,0.77,-0.243673
78,0.78,-0.249169
79,0.79,-0.254408
80,0.8,-0.259385
81,0.81,-0.264095
82,0.82,-0.268533
83,0.83,-0.272694
84,0.84,-0.276574
85,0.85,-0.280168
86,0.86,-0.283474
87,0.87,-0.286487
88,0.88,-0.289204
89,0.89,-0.291623
90,0.9,-0.29374
91,0.91,-0.295554
92,0.92,-0.297063
93,0.93,-0.298264
94,0.94,-0.299157
