step,time,angle
0,0,0.100098
1,0.01,0.100294
2,0.02,0.100588
3,0.03,0.100981
4,0.04,0.101472
5,0.05,0.102063
6,0.06,0.102754
7,0.07,0.103546
8,0.08,0.104439
9,0.09,0.105434
10,0.1,0.106532
11,0.11,0.107735
12,0.12,0.109043
13,0.13,0.110458
14,0.14,0.111982
15,0.15,0.113614
16,0.16,0.115358
17,0.17,0.117215
18,0.18,0.119187
19,0.19,0.121275
20,0.2,0.123482
21,0.21,0.12581
22,0.22,0.128261
23,0.23,0.130837
24,0.24,0.133541
25,0.25,0.136376
26,0.26,0.139345
27,0.27,0.142449
28,0.28,0.145693
29,0.29,0.149079
30,0.3,0.152611
31,0.31,0.156292
32,0.32,0.160126
33,0.33,0.164117
34,0.34,0.168267
35,0.35,0.172582
36,0.36,0.177065
37,0.37,0.181721
38,0.38,0.186554
39,0.39,0.19157
40,0.4,0.196772
41,0.41,0.202166
42,0.42,0.207756
43,0.43,0.21355
44,0.44,0.219551
45,0.45,0.225765
46,0.46,0.2322
47,0.47,0.23886
48,0.48,0.245752
49,0.49,0.252883
50,0.5,0.260259
51,0.51,0.267888
52,0.52,0.275776
53,0.53,0.283932
54,0.54,0.292362
55,0.55,0.301075
56,0.56,0.310079
57,0.57,0.319383
58,0.58,0.328994
59,0.59,0.338922
60,0.6,0.349177
61,0.61,0.359767
62,0.62,0.370702
63,0.63,0.381993
64,0.64,0.393649
65,0.65,0.405682
66,0.66,0.418102
67,0.67,0.43092
68,0.68,0.444148
69,0.69,0.457798
70,0.7,0.471881
71,0.71,0.48641
72,0.72,0.501398
73,0.73,0.516857
74,0.74,0.532801
75,0.75,0.549243
76,0.76,0.566197
77,0.77,0.583678
78,0.78,0.601699
79,0.79,0.620275
80,0.8,0.639422
81,0.81,0.659154
82,0.82,0.679487
83,0.83,0.700436
84,0.84,0.722018
85,0.85,0.744248
86,0.86,0.767142
87,0.87,0.790718
88,0.88,0.81499
89,0.89,0.839977
90,0.9,0.865694
91,0.91,0.892158
92,0.92,0.919386
93,0.93,0.947394
94,0.94,0.976199
95,0.95,1.00582
96,0.96,1.03626
97,0.97,1.06755
98,0.98,1.0997
99,0.99,1.13272
100,1,1.16664
101,1.01,1.20145
102,1.02,1.23718
103,1.03,1.27383
104,1.04,1.31143
105,1.05,1.34997
106,1.06,1.38947
107,1.07,1.42993
108,1.08,1.47137
109,1.09,1.51378
110,1.1,1.55717
111,1.11,1.60154
112,1.12,1.64689
113,1.13,1.69322
114,1.14,1.74052
115,1.15,1.7888
116,1.16,1.83802
117,1.17,1.8882
118,1.18,1.93931
119,1.19,1.99133
120,1.2,2.04424
121,1.21,2.09804
122,1.22,2.15267
123,1.23,2.20813
124,1.24,2.26438
125,1.25,2.32138
126,1.26,2.3791
127,1.27,2.43749
128,1.28,2.49652
129,1.29,2.55614
130,1.3,2.61631
131,1.31,2.67696
132,1.32,2.73805
133,1.33,2.79953
134,1.34,2.86134
135,1.35,2.92342
136,1.36,2.98571
137,1.37,3.04816
138,1.38,3.11069
139,1.39,3.17326
140,1.4,3.23579
141,1.41,3.29824
142,1.42,3.36053
143,1.43,3.4226
144,1.44,3.48441
145,1.45,3.54588
146,1.46,3.60697
147,1.47,3.66762
148,1.48,3.72778
149,1.49,3.78739
150,1.5,3.84641
151,1.51,3.9048
152,1.52,3.96251
153,1.53,4.0195
154,1.54,4.07574
155,1.55,4.13119
156,1.56,4.18581
157,1.57,4.23959
158,1.58,4.2925
159,1.59,4.34451
160,1.6,4.39561
161,1.61,4.44577
162,1.62,4.49499
163,1.63,4.54325
164,1.64,4.59054
165,1.65,4.63686
166,1.66,4.6822
167,1.67,4.72656
168,1.68,4.76993
169,1.69,4.81233
170,1.7,4.85376
171,1.71,4.89421
172,1.72,4.9337
173,1.73,4.97223
174,1.74,5.00981
175,1.75,5.04645
176,1.76,5.08217
177,1.77,5.11697
178,1.78,5.15087
179,1.79,5.18388
180,1.8,5.21602
181,1.81,5.2473
182,1.82,5.27774
183,1.83,5.30734
184,1.84,5.33614
185,1.85,5.36414
186,1.86,5.39136
187,1.87,5.41781
188,1.88,5.44352
189,1.89,5.4685
190,1.9,5.49276
191,1.91,5.51633
192,1.92,5.53921
193,1.93,5.56144
194,1.94,5.58301
195,1.95,5.60395
196,1.96,5.62428
197,1.97,5.644
198,1.98,5.66314
199,1.99,5.68171
200,2,5.69973
201,2.01,5.7172
202,2.02,5.73415
203,2.03,5.75058
204,2.04,5.76652
205,2.05,5.78197
206,2.06,5.79696
207,2.07,5.81148
208,2.08,5.82556
209,2.09,5.8392
210,2.1,5.85242
211,2.11,5.86524
212,2.12,5.87765
213,2.13,5.88968
214,2.14,5.90133
215,2.15,5.91262
216,2.16,5.92355
217,2.17,5.93414
218,2.18,5.94439
219,2.19,5.95431
220,2.2,5.96392
221,2.21,5.97322
222,2.22,5.98222
223,2.23,5.99093
224,2.24,5.99936
225,2.25,6.00751
226,2.26,6.01539
227,2.27,6.02302
228,2.28,6.03039
229,2.29,6.03752
230,2.3,6.04441
231,2.31,6.05107
232,2.32,6.0575
233,2.33,6.06371
234,2.34,6.06971
235,2.35,6.0755
236,2.36,6.08109
237,2.37,6.08648
238,2.38,6.09168
239,2.39,6.09669
240,2.4,6.10152
241,2.41,6.10618
242,2.42,6.11066
243,2.43,6.11497
244,2.44,6.11912
245,2.45,6.12311
246,2.46,6.12694
247,2.47,6.13062
248,2.48,6.13415
249,2.49,6.13753
250,2.5,6.14077
251,2.51,6.14388
252,2.52,6.14684
253,2.53,6.14968
254,2.54,6.15238
255,2.55,6.15496
256,2.56,6.1574
257,2.57,6.15973
258,2.58,6.16194
259,2.59,6.16402
260,2.6,6.16599
261,2.61,6.16785
262,2.62,6.16959
263,2.63,6.17122
264,2.64,6.17274
265,2.65,6.17416
266,2.66,6.17547
267,2.67,6.17667
268,2.68,6.17776
269,2.69,6.17876
270,2.7,6.17965
271,2.71,6.18044
272,2.72,6.18113
273,2.73,6.18172
274,2.74,6.18221
275,2.75,6.1826
276,2.76,6.18289
277,2.77,6.18309
278,2.78,6.18319
279,2.79,6.18318
280,2.8,6.18309
281,2.81,6.18289
282,2.82,6.18259
283,2.83,6.1822
284,2.84,6.18171
285,2.85,6.18111
286,2.86,6.18042
287,2.87,6.17963
288,2.88,6.17873
289,2.89,6.17774
290,2.9,6.17664
291,2.91,6.17543
292,2.92,6.17413
293,2.93,6.17271
294,2.94,6.17118
295,2.95,6.16955
296,2.96,6.1678
297,2.97,6.16595
298,2.98,6.16397
299,2.99,6.16188
300,3,6.15968
301,3.01,6.15735
302,3.02,6.15489
303,3.03,6.15232
304,3.04,6.14961
305,3.05,6.14677
306,3.06,6.1438
307,3.07,6.1407
308,3.08,6.13745
309,3.09,6.13406
310,3.1,6.13053
311,3.11,6.12685
312,3.12,6.12301
313,3.13,6.11902
314,3.14,6.11487
315,3.15,6.11055
316,3.16,6.10606
317,3.17,6.10141
318,3.18,6.09657
319,3.19,6.09155
320,3.2,6.08635
321,3.21,6.08095
322,3.22,6.07536
323,3.23,6.06956
324,3.24,6.06356
325,3.25,6.05734
326,3.26,6.05091
327,3.27,6.04424
328,3.28,6.03735
329,3.29,6.03021
330,3.3,6.02283
331,3.31,6.0152
332,3.32,6.00731
333,3.33,5.99915
334,3.34,5.99072
335,3.35,5.982
336,3.36,5.97299
337,3.37,5.96369
338,3.38,5.95407
339,3.39,5.94414
340,3.4,5.93388
341,3.41,5.92329
342,3.42,5.91235
343,3.43,5.90105
344,3.44,5.88939
345,3.45,5.87735
346,3.46,5.86493
347,3.47,5.85211
348,3.48,5.83887
349,3.49,5.82522
350,3.5,5.81113
351,3.51,5.79659
352,3.52,5.7816
353,3.53,5.76614
354,3.54,5.75019
355,3.55,5.73374
356,3.56,5.71678
357,3.57,5.69929
358,3.58,5.68126
359,3.59,5.66268
360,3.6,5.64353
361,3.61,5.62379
362,3.62,5.60345
363,3.63,5.58249
364,3.64,5.5609
365,3.65,5.53866
366,3.66,5.51576
367,3.67,5.49217
368,3.68,5.46789
369,3.69,5.4429
370,3.7,5.41717
371,3.71,5.3907
372,3.72,5.36346
