step,time,angle
0,0,0.100088
1,0.01,0.100264
2,0.02,0.100528
3,0.03,0.100881
4,0.04,0.101322
5,0.05,0.101852
6,0.06,0.102472
7,0.07,0.103182
8,0.08,0.103983
9,0.09,0.104875
10,0.1,0.105859
11,0.11,0.106936
12,0.12,0.108108
13,0.13,0.109374
14,0.14,0.110737
15,0.15,0.112197
16,0.16,0.113755
17,0.17,0.115414
18,0.18,0.117174
19,0.19,0.119037
20,0.2,0.121004
21,0.21,0.123078
22,0.22,0.12526
23,0.23,0.127552
24,0.24,0.129956
25,0.25,0.132474
26,0.26,0.135109
27,0.27,0.137862
28,0.28,0.140736
29,0.29,0.143734
30,0.3,0.146858
31,0.31,0.15011
32,0.32,0.153495
33,0.33,0.157014
34,0.34,0.16067
35,0.35,0.164468
36,0.36,0.16841
37,0.37,0.172499
38,0.38,0.17674
39,0.39,0.181135
40,0.4,0.185689
41,0.41,0.190405
42,0.42,0.195288
43,0.43,0.200342
44,0.44,0.205571
45,0.45,0.21098
46,0.46,0.216573
47,0.47,0.222356
48,0.48,0.228332
49,0.49,0.234507
50,0.5,0.240888
51,0.51,0.247478
52,0.52,0.254283
53,0.53,0.26131
54,0.54,0.268564
55,0.55,0.276052
56,0.56,0.283779
57,0.57,0.291753
58,0.58,0.29998
59,0.59,0.308467
60,0.6,0.31722
61,0.61,0.326248
62,0.62,0.335558
63,0.63,0.345157
64,0.64,0.355054
65,0.65,0.365256
66,0.66,0.375772
67,0.67,0.38661
68,0.68,0.39778
69,0.69,0.409289
70,0.7,0.421149
71,0.71,0.433367
72,0.72,0.445954
73,0.73,0.458919
74,0.74,0.472273
75,0.75,0.486026
76,0.76,0.500189
77,0.77,0.514772
78,0.78,0.529787
79,0.79,0.545245
80,0.8,0.561156
81,0.81,0.577534
82,0.82,0.59439
83,0.83,0.611735
84,0.84,0.629583
85,0.85,0.647945
86,0.86,0.666834
87,0.87,0.686264
88,0.88,0.706247
89,0.89,0.726795
90,0.9,0.747923
91,0.91,0.769643
92,0.92,0.791969
93,0.93,0.814914
94,0.94,0.838492
95,0.95,0.862715
96,0.96,0.887596
97,0.97,0.91315
98,0.98,0.939389
99,0.99,0.966326
100,1,0.993974
101,1.01,1.02234
102,1.02,1.05145
103,1.03,1.0813
104,1.04,1.11191
105,1.05,1.14329
106,1.06,1.17544
107,1.07,1.20839
108,1.08,1.24213
109,1.09,1.27667
110,1.1,1.31203
111,1.11,1.3482
112,1.12,1.3852
113,1.13,1.42302
114,1.14,1.46167
115,1.15,1.50114
116,1.16,1.54145
117,1.17,1.58258
118,1.18,1.62454
119,1.19,1.66731
120,1.2,1.71089
121,1.21,1.75527
122,1.22,1.80044
123,1.23,1.84639
124,1.24,1.8931
125,1.25,1.94054
126,1.26,1.98871
127,1.27,2.03758
128,1.28,2.08711
129,1.29,2.1373
130,1.3,2.18809
131,1.31,2.23947
132,1.32,2.29139
133,1.33,2.34382
134,1.34,2.39672
135,1.35,2.45005
136,1.36,2.50375
137,1.37,2.55779
138,1.38,2.61211
139,1.39,2.66667
140,1.4,2.72141
141,1.41,2.77628
142,1.42,2.83122
143,1.43,2.88617
144,1.44,2.94109
145,1.45,2.99591
146,1.46,3.05057
147,1.47,3.10501
148,1.48,3.15918
149,1.49,3.21302
150,1.5,3.26646
151,1.51,3.31946
152,1.52,3.37195
153,1.53,3.42388
154,1.54,3.47519
155,1.55,3.52584
156,1.56,3.57576
157,1.57,3.62492
158,1.58,3.67326
159,1.59,3.72073
160,1.6,3.76729
161,1.61,3.8129
162,1.62,3.85752
163,1.63,3.90111
164,1.64,3.94364
165,1.65,3.98506
166,1.66,4.02536
167,1.67,4.06449
168,1.68,4.10243
169,1.69,4.13916
170,1.7,4.17466
171,1.71,4.20889
172,1.72,4.24184
173,1.73,4.27349
174,1.74,4.30383
175,1.75,4.33284
176,1.76,4.3605
177,1.77,4.38681
178,1.78,4.41174
179,1.79,4.4353
180,1.8,4.45748
181,1.81,4.47825
182,1.82,4.49763
183,1.83,4.51559
184,1.84,4.53215
185,1.85,4.54728
186,1.86,4.561
187,1.87,4.57328
188,1.88,4.58414
189,1.89,4.59357
190,1.9,4.60156
191,1.91,4.60812
192,1.92,4.61324
193,1.93,4.61692
194,1.94,4.61917
195,1.95,4.61998
196,1.96,4.61935
197,1.97,4.61727
198,1.98,4.61377
199,1.99,4.60882
200,2,4.60244
201,2.01,4.59462
202,2.02,4.58537
203,2.03,4.57468
204,2.04,4.56257
205,2.05,4.54903
206,2.06,4.53407
207,2.07,4.51769
208,2.08,4.49989
209,2.09,4.48069
210,2.1,4.46008
211,2.11,4.43808
212,2.12,4.41469
213,2.13,4.38992
214,2.14,4.36378
215,2.15,4.33628
216,2.16,4.30744
217,2.17,4.27726
218,2.18,4.24577
219,2.19,4.21298
220,2.2,4.1789
221,2.21,4.14356
222,2.22,4.10698
223,2.23,4.06918
224,2.24,4.03019
225,2.25,3.99004
226,2.26,3.94875
227,2.27,3.90636
228,2.28,3.86289
229,2.29,3.8184
230,2.3,3.77291
231,2.31,3.72646
232,2.32,3.67909
233,2.33,3.63086
234,2.34,3.5818
235,2.35,3.53197
236,2.36,3.48141
237,2.37,3.43017
238,2.38,3.37832
239,2.39,3.32589
240,2.4,3.27295
241,2.41,3.21956
242,2.42,3.16577
243,2.43,3.11163
244,2.44,3.05722
245,2.45,3.00258
246,2.46,2.94778
247,2.47,2.89288
248,2.48,2.83792
249,2.49,2.78297
250,2.5,2.7281
251,2.51,2.67334
252,2.52,2.61875
253,2.53,2.5644
254,2.54,2.51032
255,2.55,2.45658
256,2.56,2.4032
257,2.57,2.35025
258,2.58,2.29776
259,2.59,2.24577
260,2.6,2.19433
261,2.61,2.14346
262,2.62,2.0932
263,2.63,2.04358
264,2.64,1.99463
265,2.65,1.94638
266,2.66,1.89884
267,2.67,1.85205
268,2.68,1.80601
269,2.69,1.76074
270,2.7,1.71626
271,2.71,1.67258
272,2.72,1.62971
273,2.73,1.58766
274,2.74,1.54642
275,2.75,1.50602
276,2.76,1.46644
277,2.77,1.42769
278,2.78,1.38977
279,2.79,1.35267
280,2.8,1.3164
281,2.81,1.28094
282,2.82,1.2463
283,2.83,1.21246
284,2.84,1.17942
285,2.85,1.14717
286,2.86,1.1157
287,2.87,1.08499
288,2.88,1.05505
289,2.89,1.02585
290,2.9,0.997395
291,2.91,0.96966
292,2.92,0.942637
293,2.93,0.916314
294,2.94,0.890677
295,2.95,0.865714
296,2.96,0.841411
297,2.97,0.817756
298,2.98,0.794735
299,2.99,0.772334
300,3,0.75054
301,3.01,0.729341
302,3.02,0.708722
303,3.03,0.688672
304,3.04,0.669175
305,3.05,0.65022
306,3.06,0.631794
